Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,Studio,USA_Umsatz
Iron Man 3,2013,"Action,Adventure,Sci-Fi",130,PG-13,ShaneBlack,"RobertDowneyJr.,GuyPearce,GwynethPaltrow,DonCheadle","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",7.1,62,772986,Marvel,409010000
Thor: The Dark World,2013,"Action,Adventure,Fantasy",112,PG-13,AlanTaylor,"ChrisHemsworth,NataliePortman,TomHiddleston,StellanSkarsgård","When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",6.9,54,611700,Marvel,206360000
Iron Man 2,2010,"Action,Adventure,Sci-Fi",124,PG-13,JonFavreau,"RobertDowneyJr.,MickeyRourke,GwynethPaltrow,DonCheadle","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",7,57,739920,Marvel,312430000
Spider-Man 3,2007,"Action,Adventure,Sci-Fi",139,PG-13,SamRaimi,"TobeyMaguire,KirstenDunst,TopherGrace,ThomasHadenChurch","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",6.2,59,509072,Marvel,336530000
Ant-Man and the Wasp,2018,"Action,Adventure,Comedy",118,PG-13,PeytonReed,"PaulRudd,EvangelineLilly,MichaelPeña,WaltonGoggins","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",7,70,327092,Marvel,216650000
The Incredible Hulk,2008,"Action,Adventure,Sci-Fi",112,PG-13,LouisLeterrier,"EdwardNorton,LivTyler,TimRoth,WilliamHurt","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.",6.7,61,444258,Marvel,134520000
Long Shot,2019,"Comedy,Romance",125,R,JonathanLevine,"CharlizeTheron,SethRogen,JuneDianeRaphael,O'SheaJacksonJr.","Journalist Fred Flarsky reunites with his childhood crush, Charlotte Field, now one of the most influential women in the world. As she prepares to make a run for the Presidency, Charlotte hires Fred as her speechwriter and sparks fly.",6.8,67,99733,Marvel,30320000
Ralph Breaks the Internet,2018,"Animation,Adventure,Comedy",112,PG,"PhilJohnston,RichMoore","JohnC.Reilly,SarahSilverman,GalGadot,TarajiP.Henson","Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",7,71,137872,Marvel,201090000
Fantastic 4: Rise of the Silver Surfer,2007,"Action,Adventure,Fantasy",92,PG,TimStory,"IoanGruffudd,JessicaAlba,ChrisEvans,MichaelChiklis",The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.,5.6,45,253509,Marvel,131919999.99999999
Punisher: War Zone,2008,"Action,Crime,Drama",103,R,LexiAlexander,"RayStevenson,DominicWest,JulieBenz,DougHutchison","Frank Castle, known as the Punisher, ruthlessly demolishes organized crime, but it starts an even bigger war.",5.9,30,60678,Marvel,7950000
Wonder Woman 1984,2020,"Action,Adventure,Fantasy",151,PG-13,PattyJenkins,"GalGadot,ChrisPine,KristenWiig,PedroPascal","Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",5.4,60,207191,DC,46370000
Joker,2019,"Crime,Drama,Thriller",122,R,ToddPhillips,"JoaquinPhoenix,RobertDeNiro,ZazieBeetz,FrancesConroy","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",8.4,59,1004600,DC,335450000
The Dark Knight,2008,"Action,Crime,Drama",152,PG-13,ChristopherNolan,"ChristianBale,HeathLedger,AaronEckhart,MichaelCaine","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9,84,2361064,DC,534860000
Watchmen,2009,"Action,Drama,Mystery",162,R,ZackSnyder,"JackieEarleHaley,PatrickWilson,CarlaGugino,MalinAkerman","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",7.6,56,516400,DC,107510000
Suicide Squad,2016,"Action,Adventure,Fantasy",123,PG-13,DavidAyer,"WillSmith,JaredLeto,MargotRobbie,ViolaDavis",A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,5.9,40,620461,DC,325100000
The Dark Knight Rises,2012,"Action,Adventure",164,PG-13,ChristopherNolan,"ChristianBale,TomHardy,AnneHathaway,GaryOldman","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",8.4,78,1547852,DC,448140000
Aquaman,2018,"Action,Adventure,Fantasy",143,PG-13,JamesWan,"JasonMomoa,AmberHeard,WillemDafoe,PatrickWilson","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",6.9,55,397223,DC,335060000
Man of Steel,2013,"Action,Adventure,Sci-Fi",143,PG-13,ZackSnyder,"HenryCavill,AmyAdams,MichaelShannon,DianeLane","An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened, when other survivors of his home planet invade Earth.",7,55,717126,DC,291050000
Shazam!,2019,"Action,Adventure,Comedy",132,PG-13,DavidF.Sandberg,"ZacharyLevi,MarkStrong,AsherAngel,JackDylanGrazer",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,7,71,276708,DC,140370000
Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Sci-Fi",152,PG-13,ZackSnyder,"BenAffleck,HenryCavill,AmyAdams,JesseEisenberg","Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",6.4,44,651600,DC,330360000
Catch Me If You Can,2002,"Biography,Crime,Drama",141,PG-13,StevenSpielberg,"LeonardoDiCaprio,TomHanks,ChristopherWalken,MartinSheen","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",8.1,75,858343,DC,164620000
